person_pdbId,name,bio,region
628,GODFREY FERDINANDO STRATFORD COLLINS,"M.A., C.I.E., O.B.E., I.C.S., Collec- tor, Dharwar, Bombay Presidency. Born 3rd November, 1888, Educated at Charter- house and Christ Church, Oxford. Entered Indian Civil Service, 1912. Served as Magistrate and Assis- tant Collector till 1920. Forest Settlement Officer, Kanara, 1921-22. Collector and District Magistrate, Kanara, East Khandesh, Thana, Karachi and Dhar- war, 1922-35. Settlement Officer, Kanara, 1924-26. Registrar, Co-operative Societies, 1926-28. Secretary in the Home Department, 1929-31, Private Secre- tary to H. E. the Governor of Bombay, 1931-35 Officiating Commissioner in Sind, 1935. Served in the Indian Army during the Great War, 1916-18. Godfrey Ferdinando Stratford Collins, M.A., C.I.E., O.B.E., 131 I.C.S., Collector, Dharwar, Bombay Presidency.",BOMBAY & SIND.
629,MISS NAVAJBAI DORABJI CONTRACTOR,"B.A., J.P., Honorary M Presidency Magistrate; Member, Committee of Visitors for the Cama and Allbless Hospitals; Lady Superintendent, Chanda Ramji Girls' High School, Bombay. Educated at Wilson College, Bombay. First Indian Lady Fellow in Arts, Bombay University (1922) ; an extensive traveller throughout India, Burma and Ceylon and in China, Japan and the United States of America. Made educational tours in 1921 and 1933 in the principal cities of England, France, Germany, Italy, Spain, Austria and Norway. Publications :-Contributions on topical, educational and social subjects in English and Gujarati in periodicals and newspapers published in Bombay. Address: -Hardinge House, Gowalia Tank Road, Bombay. Miss Navajbai D. Contractor. B A., J.P., Bombay.",BOMBAY & SIND.
630,BURJORJI SORABJI NAOROJI COOPER,"Justice of the Peace, Honorary Presidency Magistrate, Member of the Bombay Municipal Corporation, Delegate of the Chief Parsee Matrimonial Court, Representative of the Bombay Municipal Corporation on the Board of Trustees of the Jerbai Wadia Hospital for Women and Children, Member of the Improvement Trust Committee of the Bombay Municipality, Honorary Treasurer of the Society of the Honorary Presidency Magistrates of Bombay, an ex-Trustee of the Prince of Wales Museum, Bombay (being a Representative of the Municipal Corporation), and a leading social worker of Bombay. Mr. Cooper was born on 13th June, 1874, being the son of late Mr. S. N. Cooper, J.P., the first Indian Chief Accountant and Controller of Municipal Finances, who left a name in the annals of the Bombay Municipality for his great financial genius, as also for his genial personality. Late Mr. Sorabji died suddenly at a very early age and Mr. B. S. N. Cooper was left to carve out his own career. Mr. Cooper married the eldest daughter of late Mr. Rattanshaw Dadabhoy, Justice of the Peace, Millowner and Landed Proprietor. After studying up to Matriculation, Mr. Cooper joined the business and owing to his energetic spirit and honesty he rose at a very early age to be one of the leading businessmen in Bombay. His business activities found huge scope during the last World War. He supplied to Government different articles of food and clothing to the tune of nearly two crores of rupees and was ranked as one of the Approved Government Con- tractors. As a Member of the War Loan Committee he sold loans worth ten lacs of rupees, of which he bought for himself loans worth two lacs. Mr. Cooper's name is associated with several charitable Burjorji Sorabji Naoroji Cooper, Justice of the Peace, Bombay. organisations and has succeeded in collecting several lacs of rupees for different charities in Bombay. His entire energy and influence is directed in raising funds for different hospitals in Bombay and in this connection his work has been greatly appreciated by some of the Governors of Bombay, with whom he came in intimate contact whilst working for the "" Governors' Hospital Fund."" He was one of the Honorary Treasurers of the Help-Our-Hospitals Fund organised a few years back, in which capacity he put in excellent work. He is particularly noted for several ingenius schemes to raise funds for charity. His scheme of Hospital Seals of the value of one anna each was a striking success. Sir Leslie Wilson, the then Governor of Bombay, openly thanked Mr. Cooper on several occasions for his excellent work for different charities in Bombay. Mr. Cooper has been Justice of the Peace and an Honorary Presidency Magistrate with single Sitting Powers for the last 20 years. During the recent Hindu-Muslim riots Mr. Cooper's services were requisitioned by Government and in spite of his failing health he stood on the post of duty with Major-General Scobell, the of Bombay. He was awarded Silver Jubilee Medal in May, 1935. the first Manager of the oldest Publishing House in Bombay, Messrs. Longmans, Green & Co., being tant be appointed Honorary Surgeon of St. George's Hospital, Bombay; Mr. N. B. Cooper, B.A., Assis- Mr. Cooper has three sons-Dr.S.1 B. Cooper, M.B.B.S., F.R.C.S. (England), the first Indian to Advocate Indian to be appointed to the post; and Mr. R. B. Cooper, B.A. (Hons.), LL.B., a practising of father. his of the High Court, who takes a very prominent part in social and other public activities.",BOMBAY & SIND.
631,DR. KHURSHED J. CURSETJI,"B.A., M.B.B.S., B.HY., M.R.C.S. (Eng.), L.R.C.P. (Lond.), Municipal Councillor, Medical Practitioner, Princess Street, Bombay 2. Born 5th May, 1894. Municipal Committee, 1935-36 Deputy Chairman, Medical Relief and Public Health Councillor since 1926; Chairman, Bombay Municipal Schools India's Committee. Was Vice-President, Bombay Medical Union, 1934-35, and Medicine, London, 1935. Is Chief Medical Officer, Oriental Life Assurance Representative at the First International Congress of Life Insurance in Co., the since 1936, and a Gazetted Medical Advisor appointed by Government ciation, Lunacy Act of 1914. Gives Honorary services to Zoroastrian Asso- author, Blood Pressure in Life Assurance Practice.",BOMBAY & SIND.
632,SIR DADIBA MERWANJI DALAL,"KT. C.I.E., Stock and Finance Bombay. Broker, 1, New Marine Lines, Fort, Bombay. Born 12th December, 1870. Gave evidence before the Chamberlain Currency Commis- Member, Secretary 1919 Chairman, Government Securities Rehabilitations Currency, sion, 1913; Member of the Committee on Indian Exchange and Delegate for India and represented India at Hague, 1922; Member, Inchcape Economic Conference, Genoa, of State's Council, 1921-23; Delegate for India at Committee, International Bombay, 1921 United at Imperial Economic Conference, 1923; High Commissioner Committee, for India 1922-23 in the Kingdom, 1922-24.",BOMBAY & SIND.
633,SETH TRIKAMLAL DALPATRAM,"Broker and Merchant, clerk Born 10th March, 1891. He began his career zeal in a Banker's Shop and through his enthusiasm, untiring as a Ltd. He a self-made man and enjoys confidence and esteem of merchants is and shrewdness has become an Agent of Vepar Uttejak Co., and the rich people.",BOMBAY & SIND.
634,SIR HORMUZDIAR PHIROZE DASTUR,"KT., B.A., LL.B., Bar-at-Law, Chief Presidency Magistrate, Bombay, son of Sardar Pheroze Hosang Dastur, ex-Chief Presidency Magis- trate, Bombay. Was born on 20th March, 1878. He was educated at St. Xavier's College, Bombay. He joined Bombay Judicial Department in 1923, and was Taxing Master Clerk of the Crown High Court, Seth and Trikamlal Dalpatram, Broker Merchant, Ahmedabad. Bombay, which posts he held with great zeal and success. ly appointed Chief Presidency Magistrate in April, 1929. His services He was ultimate- Government during the extremely troublous times of different riots to Sir H.P. Dastur, Kt., B.A., the difficult situations with great tact. In appreciation of his Bombay are noteworthy, and it must be said to his credit that he handled in LL.B., Bar-at-Law, Chief Presidency Magistrate, Bombay. services Government was pleased to create him a Knight Bachelor numerous in 1932. Address -The Grange, 21, Wodehouse Td., Bombay.",BOMBAY & SIND.
635,ERVAD SORABJI MANECKJI MIRZA DASTURNA,"Zend Avesta and Persian Teacher, Damanwala Madressa, Udwada, is well known for his social, religious and educational activities at Udwada. He is intensely loyal to the British Crown, and is associated with many public-spirited activities. He is Secretary, Athornan Anjuman of most sacred ancient Iransha Fire"" 1200 years old, and Honorary Secretary and Treasurer, Udwada Hit Wardhak and Committees. He was twice appointed by the Government for Census Work and once for L. B. election, also appointed on three occasions as a joint scrutineer in Dispensary election. He was the Member of Jubilee Celebration Committees of King George V and J. D. A. V. School, Udwada. He collected and sent funds for Guzerat Flood and Behar Earthquake, etc. He is also a Member, Sanitary Committee and Native General Library, Udwada, the People's Co-operative Bank, Udwada Division, and Life Member, Bulsar Ervad Sorabji Maneckji Mirza Taluka V. Improvement Committee. He is the Pioneer, ""Udwada Light Dasturna, Persian Teacher, Udwada. Fund,"" and is the joint Publisher of the Holy Song of "" Iransha Fire.""",BOMBAY & SIND.
636,VANILAL TRIBHOVANDAS DEHEJIA,"B.SC., I.C.S., J.P., Collector and District Magistrate, Ahmednagar, Bom- bay Presidency. Born 1908. Stood first in B.Sc. in Bombay University, 1929; passed I.C.S. Examination, 1930, and joined service, 1931. Assistant Collector, Satara, 1931- 33 ; Assistant Collector, Ahmednagar, November, 1933, to April, 1935, and appointed Collector, Ahmednagar, 1935.",BOMBAY & SIND.
637,KHAN SAHIB SULEMAN KALOOBHAI DESAI,"B.A., D.D., Collector, Northern Prant, Surat. Born 1889. Served as Mamlatdar, 1919-30 Deputy Collector, 1931; Additional City Magistrate, Ahmedabad, 1931-32, now D.D. Collector, Surat, since 1934. Made Khan Sahib, 1931, and awar- ded Silver Jubilee Medal, 1935. Has one son and four daughters.",BOMBAY & SIND.
638,BHULABHAI JIVANJI DESAI,"M.L.A., 89, Warden Road, Bombay. Born 13th October, 1877. Educated at Elphin- stone College and Government Law College, Bombay. Served for some time as Professor of History and Economics in the Gujarat College, Ahmedabad, and later on taking the LL.B. Vanilal Tribhovandas Dehejia, B.Sc., degree enrolled as an Advocate (Original Side) of the Bombay High I.C.S., J.P., Ahmednagar. Court and is now one of the leading lawyers in India. Served for some time as Ag. Advocate-General, Bombay; appeared on behalf of the peasants before the Broomfield Committee appointed by the Government during the Bardoli Satyagrah in 1928 and again in 1931 before the Bardoli Enquiry joined Civil Disobedience movement of 1932 and was arrested and sentenced to one year's imprisonment and Rs. 10,000 fine; after release represented the Indian National Congress in the International Conference on India at Geneva in 1933; took active part in the formation of the Congress Parliamen- tary Board; elected Member of the Legislative Assembly in 1934 and is the present leader of Opposition is also Member of the Congress Working Committee.",BOMBAY & SIND.
639,DR. GOPAL VINAYAK DESHMUKH,"L.M. & S. (Bom.), F.R.C.S. (Eng.), M.D. (Lond.), M.L.A., Pedder Road, Bombay. Born 4th January, 1884. Educated at Morris College, Nagpur; Grant Medical College, Bombay King's College, London : Hospital Medical College, London. Served as Professor of Surgery in Birmingham University at Queen's Hospital Honorary Bhulabhai Jivanji Desai, M.L.A., Major at Lady Hardinge Hospital during the Great War; Surgeon at Bombay. J. J. Hospital, Bombay, and Professor of Surgery at Grant Medical College, Bombay; Member, Bombay Municipal Corporation, from 1922 and President of the said Corporation, 1928. Elected Member, Legislative Assembly, 1934.",BOMBAY & SIND.
640,JOS. ALEX. DIAS,"B.A., B.SC., LL.B., Advocate, Journalist, Justice of the Peace and Attorney-at-Law, Bombay High Court, Bombay, residing at Bandra. He was Joint Honorary Secretary of the thirteenth session of the National Liberal Federation of India held at Bombay in the year 1931, wherein he advocated joint electorates with reservation of seats to minorities. Ex-Honorary Secretary for last 10 years and now Vice-President of the Bombay East Indian Association, an institution which represents the East Indian community of Bombay, Thana, Salsette and Bassein comprising nearly 70,000 people. A promi- nent leader of the Catholic community of Bombay and the suburbs; rendered very valuable services to the Catholic community of the Bombay Presidency in playing a prominent part in the mass movement for effecting Jos. Alex. Dias, B.A., B.Sc., the union of two ecclesiastical jurisdictions into one Archbishopric, viz., LL.B., Justice of the Peace, under the Archbishop of Bombay. Actively associated with multifarious Bombay, activities promoting the social, educational, religious and political welfare of the Catholic community at large and the public in general. His character, courteous manners, genial temperament and benevolent nature are well known to the public and have endeared him to all classes of people. He is always ready to help good causes, public and private.",BOMBAY & SIND.
641,SIR HORMUSJEE COWASJEE DINSHAW,"KT., O.B.E., M.V.O., of Messrs. Cowasjee Coasts. Born Brothers, in Aden, Bombay, Zanzibar, Hadeidah, D'Jibouts, Benadir and Somali Bai Jerbai Bombay on 4th April, 1857. Father, Mr. Cowasjee Dinshaw, C.I.E. Mother, Cowasjee Dinshaw. Married in 1875 to Bai Maneckbai Nusserwanjee Erakine. Issues-three sons, Framroze, Dinshaw and Nusserwan, and one daughter, Avabai. Two sons are working in Aden and Bom- bay firms and one son managing the Bangalore Estates. Sir Hormusjee studied at Elphinstone High School and Elphistone College, Bombay and King's College, London. He worked as an apprentice to Messrs. James Barbar Son & Co., London, from 1875 to 1877 and also worked as an apprentice to Messrs. Leopold Bing Files & Gans, Paris, from 1877 to 1878. He joined his father's firm, Messrs. Cowasjee Dinshaw & Bros., Aden, Zanzibar and Bombay, in 1879 and was made a partner in the firm in 1883. He is now the head of the firm. The firm has correspondence with various cities of India, Africa, Europe and the United States. It has four steamers running to the Red Sea Ports, Somaliland and Zanzibar. It has a floating dock of its own and has an extensive workshop. It has floating plant of over 40 barges and six tugs. It has connection with Messrs. Luke Thomas & Co., Ltd., London, who are dealing largely in coal, condensed water and ice. The firm are Naval Agents and Shipping Agents at Aden. The firm are Managing Agents of the Barhanpur Tapti Mill, Ltd., Bombay, and are also Agents to the British India Steam Navi- Sir Hormusjee Cowasjee Dinshaw, Kt., O.B.E., M.V.O., Bombay. gation Co. and Mogul Line Steamers. Sir Hormusjee had the honour of reading the address of welcome on behalf of the residents of Aden to His Royal Highness the Prince of Wales (afterwards His Majesty King-Emperor George V). He acted as Trustee of the Port of Aden since 1891, and acted as a member to the Aden Port Commission, 1901. He represented the Aden Chamber of Commerce at the Congress of Commerce at Boston in 1912. He travelled to Persia in 1925, and then to Russia. He visited Europe over half a dozen times. He is the head of the Chairman Parsee community of at Aden, and he is Trustee of the Parsee Punchayat, Bombay. He is the the Union Bank of India a and also of the Zoroastrian Co-operative Credit Bank, Ltd., Bombay. He is greatly interested in Messrs. Hajeebhoy Aden Salt Works, in O. Ltd. He is the Consul for Portugal and Consul for the Austrian Republic. He received the Order of 1912, B. E. in 1918 and Knighthood in 1922 for Dinshaw his public is services. one of the most highly respected and venerated citizens of Bombay, Sir Hormusjee vast influence amongst all classes of keen society. interest He in is all the useful prop movements and pillar of the commanding of his community, and takes very He is held in the all affecting classes his of community people for his in high character, of his boundless character is munificence his simplicity of dress and nobility manners. of soul. He orthodox section particular and society in general. and innate highest esteem by gives One of the most noteworthy highest features to the lowest, and gives audience in to worthy the humblest of men. respect There to all, is no from end the to his secret charities. of Cowasjee His subscriptions Dinshaw Brothers gives causes away thousands are many, but of rupees no account every is year kept in of charity. the same. Sir The Hormusjee firm by personally way of monthly has by help, now donated books, educational several thousands fees, etc. of rupees in charity and has helped many a Parsee Hormusjee subscribed to various War funds and no account of During the same the is Great kept. War He did Sir his best to discourage Civil Disobedience. On the occasion of the Royal Silver Jubilee in May, 1935, Sir Hormusjee did splendid work as Chairman of the Committee for raising money from the Parsee community.",BOMBAY & SIND.
642,RAO SAHIB DATTATRAYA GANESH DIXIT,"B.S.E., Assistant Engineer, Irrigation, Poona. Born 1886. Edu- cated at College of Engineering, Poona. Joined service, 1913, and for uncommon executive ability coupled with kindly disposition and devotion to duty permanently appointed in Bombay Service of Engineering, 1926. Made Rao Sahib, 1928, and was chosen to act temporarily as Executive Engineer, 1935.",BOMBAY & SIND.
643,CEASAR D'MELLO,"Hono- rary Magistrate, Andheri, was born in 1882. He comes from an ancient land-owning family of Salsette. After finishing his education at St. Xavier's College, he joined the Royal Insurance Com- pany in 1901, where, by steady and intelligent work, he rose to the posi- tion of Accountant and official Super- intendent. After long and meritorious Rao Sahib Dattatrava Ganesh Dixit, services of 34 years Mr. D'Mello re- B.S.E., Assistant Engineer, Poona. tired in 1936, and the Company accor- ded their high sense of appreciation for his excellent work by giving him a farewell address and presenting a silver salver. From a very early age Mr. D'Mello took a keen interest in matters connected with his community, as also in public life, particularly of the Salsette District. In 1918 Government nomina- ted him on the District Local Board, Thana, and later ou the Taluka Ceasar D'Mello, Honorary Magistrate, Local Board, Thana. He was appointed Honorary Magistrate on Andheri. the Bench founded in Andheri in 1924, and has been re-elected year after year, and now he is appointed official Chairman of the Bench. In 1922 he was elected a member of the Notified Area Committee. He was then first non-official Chairman of this Committee and to him goes the credit of being appointed Chairman continuously for five years till the Andheri Municipality was merged into the Villa Parle Municipality by the strenuous efforts of Mr. D'Mello. Mr. D'Mello was elected the first Mayor of the Villa Parle-Andheri Municipality in 1935. He was given a public address in Andheri on 10th August, 1930; in recognition of his valuable public services. Mr. D'Mello was a nominated member of the School Board of the Bombay Suburban District and in 1922 was elected President of the Suburban Local Board. The Collector, in his review of the administration of the District Local Board for 1932-33, said, 'The services of Mr. Ceasar D'Mello deserve to be mentioned as of special value to the district for the year under report."" In 1933 his administration of the District Local Board was praised by Sir Frederick Sykes, the then Governor of Bombay. During the Non-co-operation movement, Mr. D'Mello rendered useful service to Govern- ment in maintaining peace and order in his district. During the Silver Jubilee celebration Mr. D'Mello took a very leading and active part in his district, and he collected Rs. 1,200 in Andheri. Mr. D'Mello's services to his community are most noteworthy. As Treasurer, Bombay East Indian Association, for 6 years, he collected large donations for the benefit of the institution. During the influenza epidemic in 1918 he collected about Rs. 1,000 for the relief of the community in Salsette and Bassein. He has exerted himself unflaggingly for the economic welfare of his people. He had been an Advisory Secretary to the Co-operative Society"" of Bandra, and was Chairman of the Co-operative Society"" at Andheri. He was also Vice-President of the Bombay East Indian Educational Society. He was also Vice-President, St. Aloysius Club, Andheri; Association for the Promotion of Social Welfare of the people of the locality and neighbouring parts; the ""All- Saints' League and the Traders and Mercantile Association, Bandra. During the recent movement for the improvement of live stock in the Bombay Presidency Mr. Ceasar D'Mello was the first resident of the Suburban District to encourage this step by present- ing a pedigree stud and the Viceroy Stud Bull, and the Viceroy was good enough to acknowledge this gift by a personal letter. Mr. D'Mello has also been elected Chairman of a Committee appointed by the Collector for the improvement of the live stock in Bombay Suburban District.",BOMBAY & SIND.
644,DR. D. A. D'MONTE,"M.D., L.R.C.P., L.R.C.S., F.R.I.P.H., F.C.P.S., L.M. & S., Honorary Presi- Councillor Magistrate, and Justice of the Peace, Knight of St. Gregory the Great, Municipal the East Indian President of the Bombay East Indian Association and one of the leaders of 1859. After graduating in the Bombay University Dr. D'Monte Bassein, proceeded was to England on for prosecut- community of Bombay, Salsette and born the 22nd May, ing his medical studies and to re- ceive European qualifications. From very early age Dr. D'Monte took a very keen interest in public life in spite of his busy practice in his pro- fession. His services to the Munici- pality of Bandra are very conspicu- ous and noteworthy. He was the first non-official President of the Bandra Municipality, and had ren- dered yeoman's services-well-nigh whole time-during the epidemic of plague in Bandra as well as in Bombay at great monetary loss and yet refusing remuneration offered by the Plague Committee. These ser- vices were highly spoken of by General Gatacres in the Plague Dr. D. A. D'Monte, M.D., L.R.C.P., Report. In this noble work Dr. L.R.C.S., F.R.I.P.H., F.C.P.S., D'Monte was ably assisted by his L.M. &S., Bombay. wife, Dr. Mrs. D'Monte. Dr. Mrs. Cecella D'Monte, L.M. S., Dr. Monte is an outstanding leader of the East Indian community and has Bombay. rendered F.C.P.S., J.P., invaluable Medical services to his community. He is President, Bombay East Indian Association, Society, and Salsette Catholic Housing Society, and President and Trustee of D. Antonio Credit Association, Salsette Co-operative Land Development Society, Catholic Co-operative Catholic and High free School, Dadar. Several Catholic associations and public institutions receive ungrudging D'Silva services of Dr. D'Monte. Senate for more than 30 years, and at one time represented the Medical Faculty on the Senate of and the the sitting Member of the Bombay Municipal Corporation for over 38 years, a Member been Dr. D'Monte's services to the City of Bombay are also very well known. He has was the head of the Faculty as its ""Dean."" Bombay from about 1911 to 1916. As a Justice of the Peace and an Honorary Presidency Dr. D'Monte was a member of the Legislative Council of His Excellency the Governor of trate he served Government under circumstances of great difficulty during the riots in Bombay. Magis- bestowed on Dr. D'Monte the great honour of the Knight of St. Gregory the Great. Dr. D'Monte's Pius In recognition of his numerous services to his community His Holiness the Pope of the College of Physicians and Surgeons of Bombay. He is also Director and Chairman, activities are as varied as they are of a cosmopolitan nature. He was one of the Vice-Presidents Mutual Life Assurance Society, Ltd., and the Modern Insurance Co., Ltd. ; Hon. Secretary Bombay and Trustee, Sir J. N. Wadia Charitable Dispensary; President of the Deaf-Mutes Institution Secretary and Treasurer, Edulji Framji Allbless Leper Home, Bombay, and Member of the Aeworth Hon. Leper Asylum, Mantuga, as also a Member of the British Empire Leprosy Association. He is also a member of several leading institutions in London like the Royal Society of Tropical Medicine and Hygiene, the Royal Institute of Public Health, the Royal Sanitary Institute, the British Medical Association, East India Association and British Indian Union. He is the Fellow of the Royal Society of Medicine of London and also a Member of the Bombay Medical Council, W, I. A. Association, Grant Medical College Society, the Bombay Medical Council, the Gokuldas Tejpal Nursing Association, the Bombay Sanitary Association, Bombay Presidency Released Prisoners' Aid Society, Bombay East Indian Educational Co-operative Society, Society for the Protection of Children in Western India, the Helpless Beggars' Relief Committee, Bombay Art Society, the Willingdon Sports Club, the Bombay Flying Club and the Orient Club, Dr. D'Monte had the honour of being presented by the Secretary of State for India at the Levee of Her Majesty Queen Victoria at the Court of St. James in 1886. Dr. D. A. D'Monte has gifted to the Salsette Catholic Co-operative Housing Society, of which he is the President, a 137 vast piece of valuable land worth about Rs. 40,000 largely just in towards the heart the of erection the city for of a a building Park known for the as ""Dr. Gymkhana D'Monte known Park."" as ""Dr. He has 'Monte also contributed Pavilion & Bandra Gymkhana,"" of which he is the President and Trustee. J.P., Honorary Presidency Magistrate, Dr. Mrs. Cecella D'Monte, Medal, a L.M. prominent & S., social F.C.P.S., worker, and born wife on of the one 3rd of the well- a recipient known Catholic of the Silver leaders, Jubilee Dr. D. A. D'Monte, M.D., 1892 J.P. she She joined was the Grant Medical June, College 1875, in 1893, and in the obtained the Lady Reay the Bai Hirabai After passing the Matriculation Examination in Medical Scholarship and the first Government Scholarship. She same passed year the L.M. & S. Examination in 1897, obtaining Surgeon to the Cama Pestonji Hormusji Cama Gold Medal in Surgery, and was appointed House Lady Doctors Hospital in 1898, at a time when the work at the Hospital was very arduous and very scarce. Dispensary, the Out-Patient Department of the Cama Hospital, where hundreds women from Cama Hospital in 1901 and was also made a Medical Officer in charge of of Sulleman She married Dr. D'Monte of Bandra in 1900. She was appointed 2nd the physician Jaffar to the all parts of Bombay and suburbs are treated. She worked at this charitable dispensary for 26 years, rendering yeoman's services to suffering humanity. In 1927 Dr. Mrs. Monte was appointed Acting Medical Officer in charge of the Cama Hospital, and was confirmed on the same post in 1928. She retired in 1930 from the Cama Hospital after completing 32 years of meritorious services. Even after retirement, Dr. Mrs. D'Monte is serving as a Member of the Advisory Board of the Cama Hospital. Dr. Mrs. D'Monte's name is also well known in the social circle. Her services during the last World War were noteworthy. She formed a Committee of Catholic ladies who were able to collect nearly Rs. 20,000 and to obtain 1,228 gifts and sell 3,630 Lucky Bag tickets. For these services she received a souvenir and a letter of thanks from Her Excellency Lady Willingdon. She was appointed on every committee organised for War relief work. Mrs. D'Monte was President of the Catholic Ladies' Asso- ciation and of Bombay Presidency Women Graduates' Union. She is also Justice of the Peace and Honorary Presidency Magis- trate. She is doing useful work in the Juvenile Court. She has taken an active part in all movements for the welfare of women and children. She has donated Rs. 16,000 for quarters for House Surgeons at the Cama Hospital, where she has devoted practically all her life.",BOMBAY & SIND.
645,ATHELSTANE HAMLEIGH DRACUP,"B.A. (Cantab), ex-Collector of Ahmedabad. Was Collector of Ahmed- abad when Silver Jubilee of Their Majesties King George Athelstane Hamleigh Dracup, B.A. (Cantab.), ex-Collector of Ahmedabad. V and Queen Mary was celebrated and was largely res- ponsible in making the celebrations a success.",BOMBAY & SIND.
646,KAIKHUSROO JAMSHEDJI DUBASH,"B.A., LL.B., J.P., Attorney- at-Law, Solicitor, High Court, 79, Medows Street, Fort, Bombay. Born 4th April, 1881. Is a self-made man. By sheer dint of diligence and hard work has carved out a place for himself leading public man. Is Director of several Joint Stock and Insurance as a Companies and is connected as either President, Vice-President, Treasurer, of public utility and Trustee and Honorary Legal Adviser to Secretary or Member with about forty Managing Committees of institutions dozen of them. During the visit of H.R.H. the Prince of Wales more than a 1921 his services were requisitioned by the Government, and the to India in missioner, services Bombay (vide his certificate), paid him a glowing Police Com- Great War were he similarly invested requisitioned on many other occasions. tribute. His served too in the Bombay to be Parsee Battalion for a number of years. War Loans and more than two lakhs of rupees in During the Jamshedji Dubash Kaikhusroo Solicitor, As are an active many member enumerated. of the He was made Justice of the Peace His charities B. A., LL. B., J. High Court, Bombay and nail against the Civil Disobedience councils of movement. several liberal associations and in 1929.",BOMBAY & SIND.
647,LATE DR. KAIKSHRU MANECKJI DUBASH,"L.M. & S., F.R.C.S., the well-known Surgeon comparatively in 1869. He passed the L. M. & S. examination in 1888 at a was Jamsetjee Jeejeebhoy Hospital in 1889. In 1896 he was appointed Lecturer in Midwifery young age, and was appointed Honorary Assistant Surgeon of the Sir at the above-mentioned Hospital, and in 1897 he became the Honorary Physician and Surgeon of the Bai Motibai and Sir Dinshaw Petit Hospital. Within a short time Dr. Dubash became very popular and established for himself a great reputation as an obstetrician. During the first plague in Bombay Presidency he was stationed at Kalyan, where he rendered very useful services. Thereafter he proceeded to England to prosecute his studies further and finally passed the F. R. examination in Edinburgh in 1901. Dr. Dubash was elected President of the Bombay Medical Union in 1912. In the same year he was appointed a member of the Medical Council along with Sir Temulji Nariman, KT., the Honorable Khan Bahadur Dr. Sir Nasservanji Choksi, KT., C.I.E., and Dr. Sorab K. Nariman. In 1913 Dr. Dubash started a limited company for the supply of pure hygienic milk to the people of Bombay, being supported in this venture Late Dr. Kaikshru Maneckji Dubash, L. M. & S., Surgeon, by the late Sir Rattan Tata, who was the Chairman of the Board of Direc- Bombay. tors of the Company. Various reverses had to be faced owing to unforeseen circumstances, and finally owing to ill-health Dr. Dubash had to retire from this Company where he was acting as the Managing Director at the sacrifice of his valuable time. The Doctor was a straightforward gentleman, outspoken both in his professional and social capa- cities. He was highly respected by all communities. He went to Europe in 1923 for reasons of health, but unfortunately died in London in the same year. Dr. K. M. Dubash was a Freemason of high rank in English and Scotch Constitution and was a Grand Lodge Officer in the Bombay District as well as All-Scottish Freemasonry in India. He was a Founder and Past Master of Lodge Beaman 1069 S. C:, Bombay, and was held in very high esteem by Masons, who always went to him for advice and help.",BOMBAY & SIND.
648,RAO SAHIB SAMBHAJIRAO KEDARJIRAO MORAY DUDUSKAR,"of Satara City, Bombay Presidency. Born I876. Descendant of the famous Chandrarao Moray, Raja of Jaoli, who was killed in action in 1655 at the time of Shivaji the Great. Government Service -Appointed Mamlatdar on Plague Duty in 1910. Remarks in Government Resolution Best Selection."" Mamlatdar on Society Duty 1911-12. Official remarks:- Honest and straightforward."" Mahalkari Khandala 1912-16. Remarks Continued to work energetically. Took great interest in improvement of water supply, village sites, roads, etc."" Has to his credit a creditable record of village uplift work. Mamlatdar, Patan, 1920-22. His Excellency's remarks:-."" Glad to note the energy displayed in counter- acting seditious agitation."" Mamlatdar, Saswad, 1928-29. Her Excellency's remarks: Very grateful for services rendered to her."" Mamlatdar, Sangamner, 1930-31. Quelled long-standing Hindu-Muslim tension in Sangamner. Honours - After retirement, made 'Rao Sahib"" January, 1932, and Special Magistrate First Class, 1933-34. Was given honour to make His Excellency's speech in Marathi in Ahmednagar Durbar in 1933. Owns 86 acres of land. R.S. Sambhajirao Kedarjirao Subscriptions :-Subscribed to Behar Earthquake Fund, Satara; Moray Duduskar of Satara City. Historical Research Society Hospital Fund Borstal Sub-Committee, of which he is the Honorary Secretary ; Maratha Vidyaprasarak Samaj, of which is a Vice-President ; Poona Shivaji Maratha Society ; Deccan Maratha Education Association; All-India Maratha Education Confer- ence, of which he is the Joint Secretary. Military Service :-During the Great War was Special Officer, I/C Military Labour Corps, has done much to improve Mahratta recruiting in the But Through his personal Bhamburda, 1917. District Assistant Recruiting Officer, Satara, Satara 1918. District. Remarks Mr. Duduskar should by means reached our present high number."" Even now he is Honorary Secretary and efforts and of his friends he has obtained many recruits. for his good work we Pensioners' Treasurer, District Soldiers' Satara, and Honorary Recruiter for the Imperial Army, Gwalior. not have Board, Satara; Indian Territorial Force Committee, Satara ; Military Association, 139 Loyal Service --Work of counteracting Non-co-operation in Patan in 1921 was highly spoken of twice by H. E. the Governor. Checking Civil Disobedience in Sangamner was also highly praised and rewarded with the title of Rao Sahib."" After retirement in 1932-33 he had honour to address every loyalty meeting and Commissioner's Durbar held in the Satara District. Jubilee Service :-As a member of the Satara District Silver Jubilee Committee and City Committee, he collected subscriptions and did active work. Sons :-Shivaji, Chandrasen, Pratapsinh.",BOMBAY & SIND.
